연번 ,구분 ,운영노선명 ,역명,지상 또는 지하 구분,역층,게이트 내외 구분,(근접) 출입구 번호,상세위치 ,전화번호 ,개방시간 
70,공중화장실(장애인),2호선,도림천,지상,1,외부,1,"지상1층, 역무실 옆(게이트외)",02-6110-2441,05:00~24:00
71,공중화장실(장애인),2호선,양천구청,지하,1,내부,1,"지하1층, 대합실(게이트내, 신청자량사업소출구 옆)",02-6110-2451,05:00~24:00
72,공중화장실(장애인),2호선,신정네거리,지하,1,외부,3,"지하1층 대합실(게이트외, 2번, 3번 출구방향)",02-6110-2461,05:00~24:00
73,공중화장실(장애인),3호선,구파발,지하,1,외부,4,지하1층 대합실 가 게이트 외부,02-6110-3201,05:00~24:00
74,공중화장실(장애인),3호선,연신내,지하,1,내부,3,지하 1층 대합실 라 게이트 내부,02-6110-3211,05:00~24:00
75,공중화장실(장애인),3호선,불광,지하,1,외부,3,지하1층 대합실 나 게이트 외부,02-6110-3221,05:00~24:00
76,공중화장실(장애인),3호선,녹번,지하,1,외부,5,지하1층 대합실 게이트 외부,02-6110-3231,05:00~24:00
77,공중화장실(장애인),3호선,홍제,지하,2,외부,2,지하2층 대합실 다게이트 앞,02-6110-3241,05:00~24:00
78,공중화장실(장애인),3호선,홍제,지하,1,외부,2,지하1층 대합실 상가(다이소) 옆,02-6110-3241,05:00~24:00
79,공중화장실(장애인),3호선,무악재,지하,2,내부,1,지하2층 대합실 가게이트 내부,02-6110-3251,05:00~24:00
80,공중화장실(장애인),3호선,독립문,지하,2,내부,3-1,지하1층 대합실 나게이트 내부,02-6110-3261,05:00~24:00
81,공중화장실(장애인),3호선,경복궁,지하,2,내부,3,지하2층 대합실 가게이트 내부,02-6110-3271,05:00~24:00
82,공중화장실(장애인),3호선,안국,지하,3,외부,4,지하3층 대합실 A계단 방면,02-6110-3281,05:00~24:00
83,공중화장실(장애인),3호선,종로3가,지하,3,내부,7,지하3층,02-6110-3291,05:00~24:00
84,공중화장실(장애인),3호선,을지로3가,지하,2,내부,3,가 대합실 역무실 아래 지하 2층,02-6110-3301,05:00~24:00
85,공중화장실(장애인),3호선,동대입구,지하,2,내부,6,"대합실 2층 ""가"" 게이트 앞",02-6110-3321,05:00~24:00
86,공중화장실(장애인),3호선,약수,지하,1,내부,3,(지하1층 게이트 내 대합실),02-6110-3331,05:00~24:00
87,공중화장실(장애인),3호선,금호,지하,1,내부,4,지하1층 가 게이트 내 대합실,02-6110-3341,05:00~24:00
88,공중화장실(장애인),3호선,옥수,지상,3,내부,3,3층 환승통로측,02-6110-3351,05:00~24:00
89,공중화장실(장애인),3호선,옥수,지상,3,내부,7,3층 금호역측,02-6110-3351,05:00~24:00
90,공중화장실(장애인),3호선,압구정,지하,1,외부,5,지하 1층,02-6110-3361,05:00~24:00
91,공중화장실(장애인),3호선,신사,지하,1,내부,4,지하 1층,02-6110-3371,05:00~24:00
92,공중화장실(장애인),3호선,잠원,지하,1,내부,4,지하1층 게이트 내 대합실,02-6110-3381,05:00~24:00
93,공중화장실(장애인),3호선,교대,지하,1,외부,12,"대합실1층 역무실 맞은편,게이트외",02-6110-3401,05:00~24:00
94,공중화장실(장애인),3호선,남부터미널,지하,2,내부,1,대합실 B2층 역무실 앞,02-6110-3411,05:00~24:00
95,공중화장실(장애인),3호선,양재,지하,1,내부,4,"대합실 B1층 상선 방향(9-4), 게이트 내",02-6110-3421,05:00~24:00
96,공중화장실(장애인),3호선,매봉,지하,1,외부,2,대합실 B1층 게이트옆,02-6110-3431,05:00~24:00
97,공중화장실(장애인),3호선,도곡,지하,2,외부,4,대합실  B2층  게이트 밬,02-6110-3441,05:00~24:00
98,공중화장실(장애인),3호선,대치,지하,1,내부,6,대합실 B1층 역무실 앞,02-6110-3451,05:00~24:00
99,공중화장실(장애인),3호선,학여울,지하,4,외부,1,대합실 B4층 외부 E/V 옆 (게이트외),02-6110-3461,05:00~24:00
100,공중화장실(장애인),3호선,대청,지하,2,내부,4,대합실  B2층 상선 게이트안,02-6110-3471,05:00~24:00
101,공중화장실(장애인),3호선,일원,지하,2,외부,7,"대합실 B2층 7번출구옆, 역무실 앞",02-6110-3481,05:00~24:00
102,공중화장실(장애인),3호선,수서,지하,1,내부,2,대합실 B1층 역무실좌측(게이트내),02-6110-3491,05:00~24:00
103,공중화장실(장애인),3호선,가락시장,지하,2,내부,2,대합실 B2층 고객상담실앞(게이트내),02-6110-3501,05:00~24:00
104,공중화장실(장애인),3호선,가락시장,지하,2,외부,2,대합실 B2층 고객상담실앞(게이트외),02-6110-3501,05:00~24:00
105,공중화장실(장애인),3호선,경찰병원,지하,1,내부,2,대합실 B1층 역무실 앞(게이트내),02-6110-3512,05:00~24:00
106,공중화장실(장애인),3호선,경찰병원,지하,1,외부,2,대합실 B1층 고객안내부스옆(게이트외),02-6110-3512,05:00~24:00
107,공중화장실(장애인),3호선,오금,지하,1,내부,2,"대합실 B1층 1,2번출구옆(게이트내)",02-6110-3522,05:00~24:00
108,공중화장실(장애인),3호선,오금,지하,1,외부,2,"대합실 B1층 1,2번출구옆(게이트외)",02-6110-3522,05:00~24:00
109,공중화장실(장애인),4호선,당고개,지상,1,외부,4,"대합실 1층 (1,4 출구방향)",02-6110-4091,05:00~24:00
110,공중화장실(장애인),4호선,당고개,지상,2,외부,3,대합실 2층 역무실 앞,02-6110-4091,05:00~24:00
111,공중화장실(장애인),4호선,상계,지상,2,내부,4,2층 대합실 나게이트 안,02-6110-4101,05:00~24:00
112,공중화장실(장애인),4호선,노원,지상,2,내부,9,2층 대합실 나게이트 안,02-6110-4111,05:00~24:00
113,공중화장실(장애인),4호선,창동,지상,2,내부,1,2층 대합실 나게이트 안,02-6110-4121,05:00~24:00
114,공중화장실(장애인),4호선,쌍문,지하,1,외부,2,지하1층 나환기실 옆,02-6110-4131,05:00~24:00
115,공중화장실(장애인),4호선,수유,지하,1,내부,2,"대합실 지하1층 역무실 옆(2,8번 출구방향)",02-6110-4141,05:00~24:00
116,공중화장실(장애인),4호선,미아,지하,1,외부,6,"대합실 지하1층 교양휴게실 앞 (3,4번 게이트방향)",02-6110-4151,05:00~24:00
117,공중화장실(장애인),4호선,미아사거리,지하,1,외부,6,지하1층 역무실 옆,02-6110-4161,05:00~24:00
118,공중화장실(장애인),4호선,길음,지하,1,외부,5,지하1층 대합실 가게이트 밖,02-6110-4171,05:00~24:00
119,공중화장실(장애인),4호선,성신여대입구,지하,1,내부,4,지하1층 고객 안내부스에서 10m 안쪽,02-6110-4181,05:00~24:00
120,공중화장실(장애인),4호선,한성대입구,지하,1,외부,7,"1번출구방향, 가게이트 쪽(게이트외)",02-6110-4191,05:00~24:00
121,공중화장실(장애인),4호선,혜화,지하,1,외부,3,(지하1층 3번출구 방면),02-6110-4201,05:00~24:00
122,공중화장실(장애인),4호선,동대문,지하,2,내부,9,지하2층,02-6110-4211,05:00~24:00
123,공중화장실(장애인),4호선,동대문역사문화공원,지하,1,외부,8,"지하1층 10,11번 기둥앞",02-6110-4221,05:00~24:00
124,공중화장실(장애인),4호선,동대문역사문화공원,지하,2,내부,8,지하2층 내부계단 옆,02-6110-4221,05:00~24:00
125,공중화장실(장애인),4호선,충무로,지하,2,내부,3,"지하2층 3,4,5,6,7번 출구쪽, 게이트내",02-6110-4231,05:00~24:00
126,공중화장실(장애인),4호선,명동,지하,1,내부,5,"지하1층 2,3,4,5,6,7,8번 출구쪽, 게이트내",02-6110-4241,05:00~24:00
127,공중화장실(장애인),4호선,회현,지하,2,내부,3,게이트내 지하2층,02-6110-4251,05:00~24:00
128,공중화장실(장애인),4호선,서울,지하,1,외부,11,"14번 출구  옆, 11번 출구 물품보관함 건너편",02-6110-4261,05:00~24:00
129,공중화장실(장애인),4호선,숙대입구,지하,1,외부,9,지하1층 가대합실과 나대합실 연결통로 가운데 위치,02-6110-4271,05:00~24:00
130,공중화장실(장애인),4호선,삼각지,지하,1,외부,3,신용산측,02-6110-4281,05:00~24:00
131,공중화장실(장애인),4호선,신용산,지하,1,외부,4,지하1층 삼각지측,02-6110-4291,05:00~24:00
132,공중화장실(장애인),4호선,이촌,지하,1,내부,3,지하1층 3번출구 앞,02-6110-4301,05:00~24:00
133,공중화장실(장애인),4호선,동작,지상,2,내부,1,대합실 2층 구내식당좌측,02-6110-4311,05:00~24:00
134,공중화장실(장애인),4호선,총신대입구,지하,1,내부,1,지하1층 동작측,02-6110-4321,05:00~24:00
135,공중화장실(장애인),4호선,사당,지하,1,외부,12,(지하1층 총신대측),02-6110-4331,05:00~24:00
136,공중화장실(장애인),4호선,사당,지하,1,외부,3,(지하1층 남태령측),02-6110-4331,05:00~24:00
137,공중화장실(장애인),4호선,사당,지하,2,내부,12,(지하2층 환승통로),02-6110-4331,05:00~24:00
138,공중화장실(장애인),4호선,남태령,지하,2,내부,2,(지하2층 역무실 옆),02-6110-4341,05:00~24:00
139,공중화장실(장애인),5호선,방화,지하,1,외부,3 또는4,"대합실 1층 3,4번출구방향 앞",02-6311-5101,05:00~24:00
140,공중화장실(장애인),5호선,개화산,지하,1,외부,1 또는2,대합실 지하1층 하선E/L 옆,02-6311-5111,05:00~24:00
141,공중화장실(장애인),5호선,김포공항,지하,1,외부,1,"대합실 지하 1층, 1번출구 옆(지하철경찰센터 옆)",02-6311-5121,05:00~24:00
142,공중화장실(장애인),5호선,김포공항,지하,2,외부,1,"대합실 지하 2층,1번출구 아래(국내선 연결통로 방면)",02-6311-5121,05:00~24:00
143,공중화장실(장애인),5호선,송정,지하,2,외부,1 또는2,대합실 2층 ES 1호기 앞,02-6311-5131,05:00~24:00
144,공중화장실(장애인),5호선,마곡,지하,1,외부,2,지하1층 대합실 2번출구 하단,02-6311-5141,05:00~24:00
145,공중화장실(장애인),5호선,발산,지하,1,외부,1 또는9,"대합실 1층 1, 9번 출구 사이",02-6311-5151,05:00~24:00
146,공중화장실(장애인),5호선,우장산,지하,1,외부,2,지하1층 대합실 2번출구 앞,02-6311-5161,05:00~24:00
147,공중화장실(장애인),5호선,화곡,지하,1,외부,7 또는8,"대합실 1층 7,8번 출구 앞",02-6311-5171,05:00~24:00
148,공중화장실(장애인),5호선,까치산,지하,1,외부,1 또는2 또는3 또는4,대합실(지하1층) 1~4번 출구 앞,02-6311-5181,05:00~24:00
149,공중화장실(장애인),5호선,신정,지하,2,외부,2 또는3,"2,3번 출구 지하 (가)대합실 운임지역 내",02-6311-5191,05:00~24:00
150,공중화장실(장애인),5호선,목동,지하,1,외부,7,대합실 지하1층 7번출구 옆,02-6311-5201,05:00~24:00
151,공중화장실(장애인),5호선,오목교,지하,1,외부,3,대합실 B1층 3번 출구 방향 임대상가 옆,02-6311-5211,05:00~24:00
152,공중화장실(장애인),5호선,양평,지하,1,내부,1 또는2,b1층 고객상담실 옆. 운임지역내,02-6311-5221,05:00~24:00
153,공중화장실(장애인),5호선,영등포구청,지하,1,외부,7,대합실 지하1층 7번출구 방면,02-6311-5231,05:00~24:00
154,공중화장실(장애인),5호선,영등포시장,지하,1,외부,2 또는3,"대합실 1층  2, 3번출구 앞",02-6311-5241,05:00~24:00
155,공중화장실(장애인),5호선,신길,지하,3,외부,3,대합실(B3) 3번출구 앞,02-6311-5251,05:00~24:00
156,공중화장실(장애인),5호선,여의도,지하,1,외부,6,대합실1층  가게이트 옆,02-6311-5261,05:00~24:00
157,공중화장실(장애인),5호선,여의나루,지하,1,외부,3,지하1층 대합실 비운임지역 ES옆,02-6311-5271,05:00~24:00
158,공중화장실(장애인),5호선,마포,지하,1,외부,4,대합실 1층 토니모리좌측,02-6311-5281,05:00~24:00
159,공중화장실(장애인),5호선,공덕,지하,1,외부,3,대합실 1층 3번출구 앞,02-6311-5291,05:00~24:00
160,공중화장실(장애인),5호선,애오개,지하,1,외부,3,대합실 1층 게이트 통과 후좌측,02-6311-5301,05:00~24:00
161,공중화장실(장애인),5호선,충정로,지하,1,외부,8,대합실 B1층 8번출구 방향 i센터 맞은 편,02-6311-5311,05:00~24:00
162,공중화장실(장애인),5호선,서대문,지하,1,외부,1 또는2,"지하1층 대합실 1, 2번 출구 내려와서 왼쪽편",02-6311-5321,05:00~24:00
163,공중화장실(장애인),5호선,광화문,지하,1,외부,7 또는8,세종측 대합실 지하1층,02-6311-5331,05:00~24:00
164,공중화장실(장애인),5호선,종로3가,지하,1,내부,5,(대합실 지하1층 역무실 맞은편),02-6311-5341,05:00~24:00
165,공중화장실(장애인),5호선,을지로4가,지하,1,외부,1 또는2,"대합실 B1층, B2층 내려가는 계단 앞",02-6311-5351,05:00~24:00
166,공중화장실(장애인),5호선,동대문역사문화공원,지하,1,외부,7,지하1층,02-6311-5361,05:00~24:00
167,공중화장실(장애인),5호선,신금호,지하,2,외부,5,B2 게이트 앞,02-6311-5381,05:00~24:00
168,공중화장실(장애인),5호선,행당,지하,3,외부,1 또는2 또는3 또는4,지하3층 E/S 옆(고객상담실 및만남의장소 앞),02-6311-5391,05:00~24:00
169,공중화장실(장애인),5호선,왕십리,지하,2,내부,4,b2 대합실 상가2002호점 옆,02-6311-5401,05:00~24:00
170,공중화장실(장애인),5호선,마장,지하,2,외부,1 또는2 또는3 또는4,지하2층 대합실,02-6311-5411,05:00~24:00
171,공중화장실(장애인),5호선,답십리,지하,1,외부,5 또는6,"B1층 5,6번 출입구 방향",02-6311-5421,05:00~24:00
172,공중화장실(장애인),5호선,장한평,지하,1,외부,1,지하 1층 1번출구 나가기전좌측방향,02-6311-5431,05:00~24:00
173,공중화장실(장애인),5호선,군자,지하,1,외부,7 또는8,지하1층 대합실 5 게이트(가) 앞,02-6311-5441,05:00~24:00
174,공중화장실(장애인),5호선,아차산,지하,1,외부,3,지하1층 대합실,02-6311-5451,05:00~24:00
175,공중화장실(장애인),5호선,광나루,지하,1,외부,1 또는2,지하1층,02-6311-5461,05:00~24:00
176,공중화장실(장애인),5호선,천호,지하,1,외부,5 또는6,"지하1층 대합실(5,6번출구 방향)",02-6311-5471,05:00~24:00
177,공중화장실(장애인),5호선,강동,지하,1,외부,2,대합실 지하1층 2번출구 앞,02-6311-5481,05:00~24:00
178,공중화장실(장애인),5호선,길동,지하,1,외부,3,대합실 지하1층 3번 출구 옆,02-6311-5491,05:00~24:00
179,공중화장실(장애인),5호선,굽은다리,지하,1,외부,3,대합실 지하1층 3번출구 앞,02-6311-5501,05:00~24:00
180,공중화장실(장애인),5호선,명일,지하,1,외부,3,대합실 지하1층 3번출구 앞,02-6311-5511,05:00~24:00
181,공중화장실(장애인),5호선,고덕,지하,1,외부,1,대합실 지하1층 1번 출구 방향,02-6311-5521,05:00~24:00
182,공중화장실(장애인),5호선,상일동,지하,1,외부,4,대합실 지하1층 4번출구 앞,02-6311-5531,05:00~24:00
183,공중화장실(장애인),5호선,강일,지하,2,외부,3,대합실 지하2층 3번출구측,02-6311-5611,05:00~24:00
184,공중화장실(장애인),5호선,강일,지하,2,외부,4,대합실 지하2층 4번출구측,02-6311-5611,05:00~24:00
185,공중화장실(장애인),5호선,미사,지하,1,외부,5,대합실 지하1층 5번 출구옆,02-6311-5621,05:00~24:00
186,공중화장실(장애인),5호선,미사,지하,1,내부,2 또는4,대합실 지하1층 승강장 상선 내부계단옆,02-6311-5621,05:00~24:00
187,공중화장실(장애인),5호선,하남풍산,지하,1,외부,1 또는2,"대합실 지하1층 #1,2출구 앞",02-6311-5631,05:00~24:00
188,공중화장실(장애인),5호선,하남시청,지하,1,외부,1 또는2 또는3,대합실 지하1층 #1~3출구 앞,02-6311-5641,05:00~24:00
189,공중화장실(장애인),5호선,하남검단산,지하,1,외부,1 또는2,"대합실 지하1층 #1,2출구 앞",02-6311-5651,05:00~24:00
190,공중화장실(장애인),5호선,둔촌동,지하,1,외부,3 또는4,"대합실 지하1층, 3,4번 출구 방향",02-6311-5541,05:00~24:00
191,공중화장실(장애인),5호선,올림픽공원,지하,1,외부,2,대합실 지하1층 2번출구 앞,02-6311-5551,05:00~24:00
192,공중화장실(장애인),5호선,방이,지하,1,외부,3 또는4,"대합실 지하1층 3,4번 출구방향",02-6311-5561,05:00~24:00
193,공중화장실(장애인),5호선,오금,지하,1,내부,6 또는7,대합실 지하1층 방이역 방향,02-6110-3522,05:00~24:00
194,공중화장실(장애인),5호선,개롱,지하,1,외부,1 또는4,"1,4번호 출구 사이",02-6311-5581,05:00~24:00
195,공중화장실(장애인),5호선,거여,지하,1,외부,8,대합실 1층 8번출구 앞,02-6311-5591,05:00~24:00
196,공중화장실(장애인),5호선,마천,지하,1,외부,1,대합실 지하1층 1번출구 방향에서우측 코너,02-6311-5601,05:00~24:00
197,공중화장실(장애인),6호선,응암,지하,1,외부,3 또는4,대합실 B1층 GS25 편의점 옆,02-6311-6101,05:00~24:00
198,공중화장실(장애인),6호선,역촌,지하,1,외부,3,대합실 1층 3번출구 옆,02-6311-6111,05:00~24:00
199,공중화장실(장애인),6호선,불광,지하,1,외부,6 또는7,"지하1층 가 대합실( 6,7번출구 아래)",02-6311-6121,05:00~24:00
200,공중화장실(장애인),6호선,독바위,지하,1,외부,1,대합실 B1층 E/S 7호기 옆,02-6311-6131,05:00~24:00
201,공중화장실(장애인),6호선,연신내,지하,1,외부,6 또는7,"대합실 B1층 6,7번출구방향",02-6110-3211,05:00~24:00
202,공중화장실(장애인),6호선,구산,지하,1,외부,4,대합실 B1층 4번출구 맞은편,02-6311-6151,05:00~24:00
203,공중화장실(장애인),6호선,새절,지하,1,외부,2,대합실 1층 2번 출구 옆,02-6311-6161,05:00~24:00
204,공중화장실(장애인),6호선,증산,지하,1,외부,1,대합실 1층 1번출구 옆,02-6311-6171,05:00~24:00
205,공중화장실(장애인),6호선,디지털미디어시티,지하,1,외부,4,대합실 지하1층 4번출구 옆,02-6311-6181,05:00~24:00
206,공중화장실(장애인),6호선,디지털미디어시티,지하,1,내부,2 또는3,"대합실 지하1층 2,3번출구 옆",02-6311-6181,05:00~24:00
207,공중화장실(장애인),6호선,월드컵경기장,지하,1,외부,2,대합실 (B1 2번출구방향 게이트옆),02-6311-6191,05:00~24:00
208,공중화장실(장애인),6호선,월드컵경기장,지하,1,내부,1,대합실 (B1 1번출구방향 게이트안쪽),02-6311-6191,05:00~24:00
209,공중화장실(장애인),6호선,마포구청,지하,2,외부,8,가대합실 지하2층,02-6311-6201,05:00~24:00
210,공중화장실(장애인),6호선,마포구청,지하,1,외부,3 또는4,나대합실 지하1층 편의점옆,02-6311-6201,05:00~24:00
211,공중화장실(장애인),6호선,망원,지하,1,외부,1,B1 대합실 1번출구 옆,02-6311-6211,05:00~24:00
212,공중화장실(장애인),6호선,합정,지하,1,외부,8,대합실 1층 8번출구 앞,02-6311-6221,05:00~24:00
213,공중화장실(장애인),6호선,상수,지하,2,외부,1 또는2 또는3 또는4,B2 대합실 상가 미샤 옆,02-6311-6231,05:00~24:00
